tokenId,Wings,Tail,Body,Legs,Head,Horns,Eyes,domain,color,replceable,replaced,Names,Generation
181,10,11,14,24,4,7,9,2,6,3,,Sworoth,7
182,22,18,12,17,8,9,11,2,1,2,,Wheden,7
183,2,2,19,5,13,18,21,0,0,2,,Quoiwuth,6
184,13,2,22,14,22,18,12,1,5,4,,Rakykark,6
185,16,4,5,9,23,16,1,3,9,1,,Schiaphurr,6
186,13,10,19,24b,23,20,23b,3,3,2,"L07E023,L04E024",Dynotoork,7
187,22,22,16,24,20,5,6,0,3,4,,Thayphurr,6
188,16,15,6,20,1,13,3,3,5,0,,Caiton,7
189,13,14,22,9,2,22,5,3,4,2,,Drugoleth,6
190,17,14,24,15,24,11,7,0,6,3,,Phy,6
191,23,19,21,2,8,14,20,3,1,3,,Belschykal,7
192,2,6,21,2,6,16,24,1,0,2,,Tonuyelf,5
193,1,8,22,11,6,24,21,1,7,3,,Roduvalf,7
194,14,11,9,9,11,8,1,3,1,0,,Larjond,5
195,1,21,5,22,23,2,3,0,5,3,,Deniwark,7
196,9,18,21,10,6,19b,9,0,5,1,L06E019,Zeark,6
197,2b,23,2,6,2,16,9,3,0,1,L01E002,Bleither,6
198,23,5,10,19,7,6,2,0,7,4,,Chreyrjond,7
199,12,14,10,2,23,9,12,2,8,3,,Chreetsay,6
200,1,10,16,24,2,3,2,1,4,3,,Zayvrurst,6
201,14,6,12,19,5,20,19,2,2,3,,Kohat,6
202,9,17,21,12b,9,1,9,1,6,1,L04E012,Denujoq,5
203,4,12,9,17,22,15,16,2,4,4,,Morubuth,7
204,8,22,12,17,14b,20,12b,3,1,4,"L05E014,L07E012",Heekel,7
205,6,13,17,5,14,18,21,1,0,2,,Zheernoth,7
206,5,3,14,18,5,16,16,0,5,1,,Nysrhuban,5
207,17,16,21,11,20,8,5,2,0,3,,Neitsoi,7
208,24,24,17,20,20,22,17,0,3,2,,Donggharr,4
209,3,1,20,12,18,21,13,0,2,2,,Ghaclotor,7
210,4,7,16,4,22,1,8,3,0,2,,Leer,6
211,4,8,2,7,7,9,22,0,1,3,,Rilswytia,6
212,5,12,18,13,7,13,9,0,1,2,,Rilquewar,6
213,23,7,5,16,18,8,5,0,6,2,,Lorgaque,6
214,16,3,19,3,23,4,24,2,6,0,,Vynys,6
215,17,22,4,2,8,10,20,3,3,4,,Goirphoor,7
216,15,21,11,14,5,19,21,2,8,4,,Vautsoi,6
217,15,7,8,11,21,23,2,3,8,4,,Sookolf,7
218,5,6,9,14,17,18b,16,2,1,1,L06E018,Rothijoth,7
219,18,13,21,10,17,4,5b,0,4,1,L07E005,Tinohat,7
220,5,7,1,21,21,7,9,1,7,2,,Rilbo,5
221,12,7,14,16,20,8,10,0,1,3,,Oooth,7
222,7,7,18,13,24,7,11,3,8,3,,Hyuddh,5
223,8,13,18,3,10,10,21,2,5,1,,Wheban,6
224,10,20,14,12,20,15,5,0,3,4,,Slutsu,6
225,1,19,7,7,5,2,2,2,3,4,,Rivrom,5
226,1,20,24,9,23,9,15,3,5,1,,Heatsay,6
227,21,4,14,22,1,12,5,3,6,4,,Broolpith,7
228,16,4,24,22,5,24,19,0,8,4,,Maordbro,6
229,8,13,5,2,9,15,20,0,5,4,,Tuddh,7
230,24,6,6,22,20,9,12,3,5,4,,Saeque,6
231,11,7,11,19b,18,20,8,1,2,1,L04E019,Boezuka,6
232,17,24,10,10,20,1,6,1,0,3,,Yiewuth,6
233,15,4,11,7,17,8,20,3,1,4,,Ghayxoq,7
234,4,2,14,5,2,19,6,1,8,3,,Eothekuyh,6
235,15,10,21,11,5,11,3,3,1,3,,Rhayler,6
236,2,21,4,3,4,19,4,2,3,4,,Risfehat,5
237,18,2,7,3,24,17,7,2,6,2,,Thuitai,6
238,19,7,12,20,17,11,5,1,9,3,,Cleikwerd,7
239,1,21,24,4,16,23,15,3,6,3,,Saor,7
240,12,20,6,23,16,19,19,0,8,2,,Risugeer,6
241,19,24,20,18,3,10,24,0,6,0,,Rynyliev,6
242,9,7,17,17,5,14,12,3,7,2,,Quazhohon,6
243,16,24,17,17,23,21b,7,0,3,1,L06E021,Chreeves,6
244,18,10,1,9,21b,2,9,3,4,1,L05E021,Denyxier,6
245,21,11,11,5,16,16,17,0,9,0,,Porgand,5
246,2b,10,19,16,22,11b,3,0,0,3,"L01E002,L06E011",Faygharr,7
247,9,2,13,19,20,8,13,2,1,2,,Syuthcro,6
248,20b,15,24,16,8,17b,13,0,7,4,"L06E017,L01E020",Zadalf,7
249,8,12,18,14,7,24,10,0,6,4,,Clover,7
250,9,8,5,2b,9,9,13,1,5,1,L04E002,Claybur,5
251,11,22,15,13,12,11,6,1,8,3,,Chaakoth,6
252,6,20,2,21,10,11,21,2,8,1,,Teashoor,6
253,19,8,3,8,23,8,24,0,8,0,,Threalpith,5
254,23,21,13,23,20,3,24,2,7,2,,Schoerphoor,6
255,20b,1,9,19b,19,12,18,1,8,4,"L04E019,L01E020",Moehat,7
256,20,11,7,21,1,19,24,1,4,2,,Nysstrusam,7
257,10,14,5,1,4,12,17,0,3,2,,Dat,7
258,20,1,14,16,23,24,11,0,8,3,,Rothchriwar,7
259,18,1,16,14,16,1,15,3,4,0,,Polchrutin,5
260,12,8,7,11,23,4,18,2,7,2,,Cerofiev,7
261,16,18,13,15,23,16,12b,1,3,1,L07E012,Polsiril,6
262,24,21,16,4,6,19,3,3,3,3,,Bleaphaw,7
263,11,16,8,1,19,11,21,2,5,2,,Doiran,6
264,21,10,12,22,1,9,13,2,0,2,,Trurtlalin,7
265,6,12,24,24,19,7,13,1,2,4,,Sweigha,6
266,1,14,12,21,2,7,24,3,2,3,,Dencaryn,7
267,12,8,6,22,19,17,5,1,2,4,,Aooelf,7
268,6,16,19,16,5,21,17,3,8,3,,Shmolk,6
269,10,16,6,16,11,3,16,1,0,1,,Rraqa,5
270,23,24,24,10,21,17,21,3,7,2,,Waralier,5
271,7,18,6,18,2,11,12,2,9,3,,Jeurk,6
272,13,15,6,14,1,8,9,0,9,0,,Beoorkgon,7
273,1,5,15,3,5,17,19,1,1,3,,Meytan,6
274,13,13,12,6,16,7,17,2,7,2,,Beulza,6
275,6,17,19,7,10,21,12,0,1,3,,Xor,7
276,9,23,12,17,23,19,17,0,8,2,,Tonchraton,5
277,13,19,4,3,16,4,20,0,0,2,,Jeirphoor,6
278,7,16,14,1,19,8,7,0,9,2,,Daruxark,6
279,5,1,23,5,7,4,23,1,7,2,,Whuitsoi,5
280,11,21,4,8,1,7,23,2,5,4,,Swealza,7
281,13,18,8,12,19,9,6,0,5,3,,Ransmovor,7
282,8,14,7,15,16,21,11,1,6,2,,Danowor,7
283,13,16,21,5,9,16,2,2,3,1,,Fravrom,6
284,23,5,10,18,4,8,22,3,8,1,,Nalbrimor,7
285,12,22,23,11,12,17,15,2,9,3,,Sneuthem,6
286,18,1,16,5,4,19,19,1,6,2,,Foorad,6
287,1b,24,16,15,11,1,15,1,4,1,L01E001,Queohoork,6
288,16,8,15,19,8,10,21,1,0,2,,Gushoor,6
289,22,2,2,21,7b,10,11,3,0,1,L05E007,Sheulza,6
290,7,1,13,11,15,23,21,2,7,2,,Riarjond,7
291,12,20,15,4,8,7,12,0,7,4,,Givrom,6
292,17,10,22,14,14,6,17,0,1,4,,Hatstuper,5
293,10,23,9,5,24,17,18,0,9,3,,Ceraself,7
294,22,16,7,7,6,14,19,3,0,1,,Lourk,6
295,17,15,10,13,20,4,4,2,3,3,,Jealfdro,6
296,3,17,20,20,1,21,12,1,4,2,,Heebuq,6
297,11,18,16,12b,16,4,1,0,8,1,L04E012,Suljyril,6
298,20,8,6,3,20,19,7,2,6,3,,Turwhacer,6
299,15,14,20,3,10,18,19,1,2,2,,Waruyord,7
300,3,21,15,15,15,13,20,3,2,2,,Burchukel,5
301,4,18,12,24,15,8,4,0,9,4,,Turukier,6
302,11,21,3,9,9,8,23,1,2,2,,Skelstirad,6
303,3,21,20,11,18,11,13,3,7,2,,Thersnaran,6
304,16,6,11,16b,16,9,7,1,2,1,L04E016,Choigharr,6
305,24,11,14,2,15,22,16,2,5,2,,Whietsu,7
306,19,13,17,3,9,7,19,2,7,1,,Daroyor,6
307,22,10,19,11,20,7,17,2,7,2,,Samsuray,7
308,12,3,18,9,22,6,10,2,1,3,,Threevrom,7
309,8,6,9,20,22,16,24,0,1,2,,Chaquipol,7
310,19,14,13,20,20,17,4,3,4,3,,Hoigarr,6
311,22,15,15,2,16,24,11,2,7,2,,Niawuth,6
312,15b,22,3,4,20b,3,10,3,1,3,"L01E015,L05E020",Sat,6
313,7b,6,15,10,2,22,15,3,1,1,L01E007,Morvebur,6
314,16,12,1,6,1,19,13,2,3,2,,Troony,6
315,24,22,22,5,2,13,1,2,8,3,,Slar,6
316,3,8,15,13,13,17,15,3,1,1,,Laudoph,5
317,12,16,14,17,13,18,12,1,6,3,,Slauloodd,6
318,1,2,10,8,12,1,1,3,7,1,,Swaqark,5
319,1,2,24,4,10,12,2,0,9,3,,Zewoorph,6
320,20b,8,7,10,6,8,15,3,8,1,L01E020,Loranood,6
321,18,9,14,18,8,7,5,1,0,3,,Tanecark,6
322,2,17,21,13,6,17,19,2,1,2,,Loreqalf,6
323,3,8,3,24,14,24,19,0,3,3,,Snorux,5
324,7,2,20,14,19,17,6,2,8,4,,Toukwerd,7
325,20,6,15,2,20,3,1,2,4,3,,Yerclaper,6
326,19,17,9,2,16,1,21,3,5,1,,Garanurk,7
327,15,19,19,14,6,23,24,3,0,2,,Qelf,6
328,12,6,11,13,8,16,9,1,6,2,,Yeerkurraq,7
329,9,11,16,8,3,4,22,3,3,0,,Suldreban,7
330,21,6,1,10,24,15,2,0,0,3,,Choorjond,7
331,11,16,9,23,20,14,20,1,1,2,,Brookur,6
332,7,10,9,5,12,23,8,2,5,2,,Rhodan,7
333,13,22,3,19,7,2,18,3,4,4,,Kaluxoq,7
334,8,24,15,11,6,14,23,2,5,2,,Qyelf,7
335,23,6,6,17,5,18,9,3,4,2,,Morzamor,6
336,10,2,10,21,13,11,24,2,8,1,,Scheyphurr,6
337,20,18,22,8,21,21,14,1,5,4,,Tiawhuyer,6
338,11,21,11,22,19,10,1,2,9,3,,Fearyn,6
339,19,17,9,15,18,19b,15,0,4,1,L06E019,Leyrjond,6
340,22,24,23,8,14,21,9,0,6,2,,Tanchruray,7
341,7,13,2,12,5,4,20,1,8,4,,Woricor,7
342,5,11,2,22,6,9,8,3,8,1,,Coophaw,7
343,10,14,16,7,2,3,18,0,9,2,,Burujoork,7
344,6,6,13,8,1,11,23,3,1,3,,Sulwyther,6
345,14,3,1,14,5,18,16,1,2,2,,Zaewhud,6
346,23,10,21,15,7b,8,19,3,6,1,L05E007,Geelfgon,7
347,22,4,8,2,8,6,14,2,4,4,,Quophaw,6
348,8,4,1,18,2,1,10,1,3,2,,Tiattta,6
349,5,17,18,21,22,9,1,1,9,1,,Faergand,7
350,24,7,21,8,21,4,16,3,0,2,,Ryntreler,6
351,21,24,17,16,19,1,3,2,1,2,,Geishy,7
352,8,22,18,15,18,13,9,0,9,2,,Chesusay,6
353,4,22,1,15,19,20,24,2,2,3,,Choidraph,7
354,23,22,9,17,7,8,3,1,7,2,,Jairnust,7
355,5,20,1,1,4,10,21,2,7,1,,Thishoor,6
356,13,16,16,7b,17,4,13,1,6,1,L04E007,Chaiwor,5
357,21,10,2,7,22,21,12,3,9,4,,Burjugha,6
358,20,10,19,2,8,15,21,3,6,4,,Rheiton,7
359,19,10,16,10,13,13,3,1,5,0,,Yioorkdda,5
360,2,2,23,11,9,18,5,0,1,3,,Stytan,6
361,14,4,1,22,18,7,9,2,9,3,,Daninier,7
362,13,17,9,18,8b,19,23b,2,1,3,"L07E023,L05E008",Samopuddh,7
363,9,17,8,5,16,4,12b,3,4,1,L07E012,Koewhud,7
364,18,15,9,19,19,14,15,0,8,2,,Raagharr,5
365,17b,19,15,18,13,12b,15,0,8,2,"L06E012,L01E017",Trooludh,6
366,24,13,16,16,21,10,11,0,0,3,,Yeystradd,6
367,23,19,12,6,3,11,14,0,1,3,,Faeton,7
368,4,11,10,21,16,15,5,3,0,3,,Hoark,7
369,20,21,15,12,21,1,14,3,9,4,,Drastridel,6
370,23,13,23,24,18,22,20,2,8,2,,Kalimar,6
371,10,22,24,21,24,5,23,1,9,3,,Smebuq,6
372,2,9,8,19b,19b,12,5,1,7,4,"L04E019,L05E019",Miev,6
373,9,24,23,7,6,12,21,2,9,2,,Chripham,7
374,9,2,16,20,24,22,2,2,8,2,,Glar,6
375,11,24,16,13,2,2,1,1,5,0,,Brishoor,6
376,11,5,12,19,8,6,8,2,5,4,,Tiaogier,6
377,20,9,16,20,20,15,7,3,0,3,,Quadraph,5
378,3,3,2,17,22,1,2,0,5,2,,Aoobus,5
379,15,16,17,14,10,7,5,3,9,3,,Strolpith,7
380,5,4,10,12,13,2,18,3,3,3,,Craedraph,7
381,23,3,6,18,7,5,8,0,2,1,,Rrdo,7
382,6,15,15,12,3,3,2,3,5,2,,Chaicha,5
383,10,8,19,4,5,23,16,2,5,2,,Feabel,7
384,3,10,10,3,14,8,20,0,8,2,,Morpha,5
385,17,9,14,21,3,22,16,1,9,1,,Niaphaw,7
386,6,8,20,7,6,22,4,3,3,2,,Lloernust,6
387,3,16,11,24,20,20,4,0,4,3,,Feer,6
388,6,16,12b,23,17,20,24,0,5,1,L03E012,Kiier,7
389,16,10,11,8,24,12,10,0,5,2,,Koodham,6
390,23,8,16,18,2,11,20,3,2,2,,Serlluhin,7
391,7,8,18,23,16,5,6,0,8,2,,Sneewraph,7
392,2,17,16,17,19,10,2,2,9,3,,Tiaogoq,5
393,16,16,21,9,10,17,7,3,8,1,,Perigat,6
394,10,19,19,23,10,4,8,2,9,0,,Zaark,5
395,10,9,19,8,8,9,5,1,6,2,,Ranodurk,5
396,22,3,5,22,24,24,13,2,4,3,,Cuirod,5
397,18,16,14,5,7,9,23,2,0,2,,Yoilpith,7
398,13,4,4,11,18,7,4,0,2,4,,Cleerphoor,5
399,23,24,5,18,13,10,21,3,5,0,,Rylarda,7
400,8,8,3,9,19,5,24,3,4,2,,Shmoolpe,6
401,11,2,21,16,5,7,1,1,3,3,,Turcegar,7
402,10,19,14,19,17,17,7,1,9,2,,Rynakat,5
403,21,15,5,4,10,3,9,0,6,0,,Poutsu,7
404,22,13,16,23,21b,13,15,3,7,1,L05E021,Thrairgand,6
405,6,14,21,4,22b,4,8,0,1,1,L05E022,Xar,6
406,17,3,10,9,11,22,20,0,4,2,,Myoth,7
407,15,13,20,4,5,18,22,2,6,3,,Kelaneer,7
408,5,16,18,5,5,13,2,3,0,2,,Turupord,5
409,12,18,18,22,24,22,17,0,2,3,,Naothta,5
410,23,18,11,6,14b,8,3,2,3,1,L05E014,Rhaynys,7
411,3,9,17,23,2,8,14,2,2,1,,Boirphoor,7
412,8,8,20,7,13,2,21,1,7,2,,Risutoo,6
413,3,16,24,23,17,16,4b,2,9,1,L07E004,Lleaskel,6
414,4,4,4,1,17,19,23,2,5,4,,Hiakur,5
415,15,10,3,13,15,2,20,2,3,2,,Ranirord,6
416,12,20,1,4,12,17,22,1,7,2,,Torjother,6
417,1,19,13,9,19,14,20,0,0,3,,Pord,6
418,4,12,5,18,1,4,5,1,0,3,,Pheutsoi,5
419,17b,16,18,16,14,2,18b,3,9,4,"L07E018,L01E017",Rphe,6
420,6,23,9,22,8,5,12,1,7,3,,Turchrugar,7
421,1,3,7,7b,5b,21,20,1,9,4,"L04E007,L05E005",Kimdrasam,7
422,24,2,12,8,2,4,2,2,1,3,,Ryntheril,5
423,6,1,8,15,2,14,11,2,6,0,,Woeer,7
424,3,21,2,4,12,18,10,1,7,2,,Lliestradd,7
425,21,18,3,13,5,6,2,3,0,3,,Quashoor,7
426,23,10,5,19b,6,5,15,0,3,1,L04E019,Snergand,6
427,8b,6,1,8,17,8,3,1,9,1,L01E008,Ryneduddh,6
428,9,21,22,9,8,4,19,0,0,3,,Deljany,6
429,20,6,14,1,9,2,14,0,0,2,,Tanyneer,6
430,6,11,11,8,18,20,11,1,5,0,,Shyayat,5
431,23,13,17,7,7,14,20,3,5,3,,Chequunys,6
